id,title,summary,3,4,5,6,7,occupation
200630598,Three Employees Hospitalized After Fire In Dust Collector,Employees #1 through #3 were conducting abrasive blasting operations inside a  railroad car when the dust collector bag housing caught fire. They were  evacuated  along with coworkers  but Employees #1through #3 developed severe  respiratory irritation that required hospitalization.,fire  respiratory  dust collector  inhalation  dust  smoke  lung  respiratory tract  abrasive blasting  smoke inhalation,3 116218728   Hospitalized injury Asphyxia Laborers  except construction,,,,
200360915,Six Employees Hospitalized Following Ammonia Release,On May 31  2012  Employees #1 through #6 were working for the Smithfield  Packing Company  Inc. The narrative did not state their occupations. When an  evaporator that had been deactivated was mistakenly activated by a worker   approximately 68.5 pounds (31 kilograms) of ammonia were released on an  overhead catwalk. Employees #1 through #6 inhaled the fumes  and they were  transported to a hospital. Employee #1 was not hospitalized  but Employees #2  through #6 were. The narrative did not specify whether the inadvertent release  of the ammonia was caused by a coworker or one of the six employees who were  injured.,refrigerator  refrigerant  chemical  ammonia  pressure release  toxic fumes  chemical vapor  inhalation  lung,3 316365303   Hospitalized injury Other Occupation not reported,,,,
14386031,Thirteen Employees Inhale Creosote Vapors; Two Hospitalized,"Employees #1 through #13 were in the vicinity when a forklift truck punctured a 55-gallon container of creosote, causing vapors to spread throughout the area. Employees #1 and #2 were hospitalized; Employees #3 through #13 were treated and released. This accident proved to be neither a fatality nor a catastrophe as defined by Section 8, viii-1 of the field operations manual.",vapor  ventilation  inhalation  rupture  industrial truck  creosote  chemical vapor  toxic fumes  overexposure,inhalation  creosote  vapor  toxic fumes  rupture  industrial truck  chemical vapor  ventilation  overexposure,,,,
839696,Six Employees Hospitalized After Exposure To Cyanide,On October 3  1994  Employee #1 was required to mix a solution of cyanide to  add to a plating bath. He was supposed to mix copper cyanide with a mixture of  water  sodium cyanide  and zinc cyanide. Instead  Employee #1 added  Enstrip-92  an acid  to the cyanide mixture. Enstrip-92 is a green powder that  resembles copper cyanide  which is also a green powder. This mixture caused a  chemical reaction  which released cyanide gas. Employees #1 through #6 were  hospitalized and released 3 days later. The container of Enstrip-92 was not  routinely kept in the area.,chemical reaction  overexposure  cyanide  work rules  inattention  toxic fumes,3 103197133   Hospitalized injury Asphyxia Occupation not reported,,,,
200994184,Three Employees Are Hospitalized Due To Dust Inhalation,Three employees were hospitalized due to dust inhalation.,asphyxiated  dust  inhalation  kiln  oven  furnace,3 308207471   Hospitalized injury Asphyxia Furnace  kiln and oven operators,,,,
200840270,Seven Employees Hospitalized For Excessive Lead Exposure,On September 25  1997  Employees #1 through #7 began removing paint from the  exterior of an approximately 100-year-old house. They were using power tools  without dust collection systems until they stopped work on November 19  1997.  Employees #1 through #7 all were hospitalized with elevated levels of lead in  their blood and underwent chelation treatment. The respiratory protection and  hygiene facilities on this job were inadequate.,lead  paint  respiratory  dust collector  inhalation  dust inhalation  construction  ppe  work rules  housekeeping,1 300605995   Hospitalized injury Poisoning(Systemic) Painters  construction and maintenance FallDist: FallHt:Cause: Exterior paintingFatCause: Other,,,,
14387518,Ten Employees Exposed To Chlorine Gas  Four Hospitalized,Employees #1 through #10 were exposed to chlorine gas when a chlorine leak  occurred on an etching line that was used to etch printed circuit boards.  Employees #4 through #7 were hospitalized. The leak was caused by the  malfunction of probes used to control the amount of chlorine released in the  system.,chlorine  gas leak  overexposure  mech malfunction  leak  accidental discharge  toxic fumes  inhalation  etching operation,3 1330687   Non Hospitalized injury Other Occupation not reported,,,,
200358240,Three Employees Are Hospitalized Due To Smoke Inhalation,On December 9  2009  three employees were hospitalized due to smoke inhalation  from a fire that took place in a resident's room. All three employees  attempted to extinguish the fire using portable fire extinguishers. All were  treated for minor smoke inhalation and were released from the hospital on the  same day.,fire extinguisher  smoke  smoke inhalation  fire,3 313826752   Non Hospitalized injury Other Occupation not reported,,,,
202149282,Four Employees Are Hospitalized After Motor Vehicle Accident,On August 30  2011  Employee #1  #2  #3 and #4  all firefighters  were  practicing for a drill competition  using a Class C tender truck. The tire  blew out and caused the vehicle to swerve  spin and hit a guardrail  throwing  the four employees from the vehicle. All four of the employees were  hospitalized for their injuries.,firefighter  fire truck  traffic accident  concussion  head  contusion  abrasion  fall,3 311649826   Hospitalized injury Bruise/Contus/Abras Firefighting occupations,,,,
200750347,Three Employees Hospitalized After Exposure To Coolant,Employees #1 through #3 were working in an office area while a coworker was  recharging the window air conditioner with R-22 (Forane). They began to  experience dizziness  scratchy throats  and heaviness in their chests. They  were transported to the hospital for evaluation and were held overnight for  observation. The three employees were released the next day and returned to  work the following day.,chemical  dizziness  respiratory tract  chest  inhalation  office area  chemical vapor  air conditioner  freon,3 300535606   Hospitalized injury Asphyxia General office clerks,,,,
200925766,Four Employees Suffer Hot Grease Burns  Two Hospitalized,Employees were cooking funnel cakes in a large deep fryer  with vegetable oil  heated to approximately 375-degrees Fahrenheit. The fryer tipped over   spilling hot grease on four employees. All four suffered burns and were  transported to the hospital. Employee #1 and Employee #2 were hospitalized.  Employee #3 and Employee #4 were treated for their injuries but were not  hospitalized.,heat  burn  hot cooking oil  fryer,3 313576167   Non Hospitalized injury Burn/Scald(Heat) Short-order cooks,,,,
201270964,Five Employees Hospitalized After Chemical Exposure,Five employees were hospitalized as a result of a possible exposure to Sodium  Hydroxide (NaOH) or Hydrochloric Acid (HC) vapors. The vapors may have been  created by the overflow of a Kolene parts cleaning unit. The Kolene unit has a  Kolene molten salt bath  containing NaOH. The molten salt overflowed and came  in contact with PVC piping  possibly releasing HCl vapors from the heating of  the piping. NaOH vapors may have been released as a result of the molten salt  overflow.Note: The injury line of this report does not list any injuries  /fatalities  but the narrative does.,chemical  overexposure  hydrochloric acid  sodium hydroxide  pipe  polyvinyl chloride  vapor,,,,,
