id,title,summary,3,4,5,6,7,occupation
200535078,Three Employees Were Burned In Flash Arc Fire,"At approximately 9:00 a.m. on June 6  2012  Employee #1 an electrical  engineer  Employee #2 and Employee #3 electricians worked for the Gerdau  Ameristeel  Wilton  IA.  and for Davenport Electric Contract Company to  provide electrical maintenance in the Shredder area. A Fluke meter  rated for  a maximum of 1000 volts  was applied to a live circuit  energized at 4160  volts. Employee #2 replaced broken conduit which was used to bring power to  the 3000 hp Shredder Motor. Employee #3 was called to assist Employee #2. Two  extra cables were found in a Shredder junction box and Employee #1 asked  Employee's #2 and #3 to trace the cables. Single line prints were analyzed and  a connection to a capacitor was noted. Employee #1 reported that he did not  notice there were two different capacitors on the drawing. One capacitor was  south of the shredder building  installed for voltage stabilization and was  not labeled. The other capacitor  located in the Shredder Area electrical  substation  north of the Shredder building  was for power correction and was  labeled ""CAPACITOR BANK"". The Shredder was locked out at the substation. The  breaker  in the substation panel marked ""CAPACITOR BANK""  was open and the  panel door was initially locked out to prepare for testing. Employee #2 called  Employee #1 to ask if the ""CAPACITOR BANK"" breaker could be closed because the  initial continuity test did not work. Employee #1 entered the substation  enclosure to discuss the work with Employee #2 and Employee #3. Employee #1  agreed that it would be safe to close the breaker. The interlock  on the  substation cabinet door marked ""CAPACITOR BANK""  was defeated so the door  could remain open when the breaker was closed. The handle was in the ""on""  position. Employee #2 used a Fluke meter  rated for a maximum of 1000 volts   to try to test for ohms to confirm circuit continuity. The upstream lockout  acted upon the power stabilization capacitor bank  and was not upstream of the  ""CAPACITOR BANK"" power correction capacitor  the meter was applied to a live  circuit  energized at 4160 volts. A fault occurred and caused an arc flash.  Employee #1 reported he heard a buzz and then felt the flash. He saw that  Employee #2 was on fire. Employee #1 attempted to extinguish Employee #2's  clothing by rolling Employee #2 on the ground while yelling for help. Employee  #4 heard a pop and saw smoke rise from the substation area and alerted the  plant Emergency Response Team (ERT). Shredder Department Employees  who were  ERT members  responded immediately with an AED  fire extinguisher and a  medical equipment bag. Employee #2 was extinguished with a fire extinguisher.  A polyester blanket was placed over Employee #2 to cover and prevent shock.  Then the blanket caught on fire. The blanket was pulled away and a fire  extinguisher was used a second time to extinguish Employee #2's clothes. One  responder reported that a fire appeared to be coming from under Employee #2   so they rolled him and patted the fire down. First aid was provided. Employee  #1 reported he was approximately 8 to 10 feet away from the arc flash origin.  Personal Protective Equipment (PPE) worn at the time of the incident included  safety glasses  a 100 polyester high visibility safety vest  denim blue jeans   hard hat w/chin strap  steel toed work boots and a long sleeve flame resistant  (ATPV 7.7 rated) shirt. Employee #1 was burned on his hands while trying to  extinguish Employee #2. Employee #1 had flash burns to his face  with blisters  in some areas. Employee #1 was taken by ambulance and kept overnight in the  hospital. Employee #2 was not as seriously burned on his head and neck as he  was on the lower portions of his body. Employee #2's pants were consumed in  the fire  except for part of the waistband and approximately 6 inches of the  bottom of the pant legs. Employee #2 was flown via medical helicopter to a  hospital burn unit  where he was admitted with 55 percent of his body b",electric arc  electric conductor  electric meter  power line worker  elec protect equip  electrical box  capacitor  fire  buried,3 316574011   Hospitalized injury Burn/Scald(Heat) Electricians,"engineer employee,electricians",,,"engineer employee,electricians"
202082145,Six Employees Suffers From Chlorine Gas Poisoning,On July 5  2013  Employee #1  a shear operator  received for processing a  tanker with unknown contents at the scrap yard. The employee was using a large  shear to cut the tanker into small metal pieces. Employee #1 cut through the  outer layer and began to cut the inner steel layer; thereby  releasing an  unknown gas into the atmosphere. A gas cloud formed  and Employee #1 and 5  other employees immediately began experiencing adverse health effects that  included symptoms such as shortness of breath  chest tightness  and dizziness.  An evacuation occurred  and Employee #1  5 employees and three customers were  taken by Emergency Medical Services to the hospital for treatment. It was  determined that it was chlorine gas. The release occurred because the tanker  was not purged and pressurized. The employees' remained hospitalized.,sheared  shearing machine  tank  chlorine  gas  poisoning  inhalation  chest  dizziness,3 317173706   Non Hospitalized injury Other Laborers  except construction,shear operator,,,shear operator
317229540,Three Workers Fall From Collapsing Patio And Sustain Burns,On August 14  2013  Employee #1  the owner of a roofing company  and Coworkers  #1 and #2  employed fulltime by the company  were working on a patio at a  residential building. The patio collapsed. The three workers fell from the  patio and sustained burns. A call was placed for emergency services  and El  Centro Fire Department responded. The three injured workers were transported  to the hospital  where they were admitted and treated for second and third  degree burns. The Fire Department reported this incident to Cal/OSHA at 9:13  a.m. on August 14  2013. Cal/OSHA arrived at the site on August 15  2013  to  conduct its investigation.,construction  roofer  collapse  fall  fall protection  burn,1 317229540   Hospitalized injury Burn/Scald(Heat) Occupation not reported FallDist: 10FallHt:10Cause: FatCause: Fall from roof,owner,,,owner
170562383,Five Employees Suffer Minor Exposure To Strong Acid Vapors,Employee #1  a material handler at Ashland Chemical  was unloading two  55-gallon drums of hydrofluoric acid from a truck to temporary storage in a  warehouse  a distance of 50 to 100 feet  using a forklift with an attachment  designed for transporting two drums. The warehouse is several hundred yards  from the main facility. One half of the drum transporter released a drum   which fell approximately 18 inches to the ground. The inner poly liner  fractured  releasing hydrofluoric acid vapors through the outer steel drum.  Employee #1 vacated the immediate area and went to the warehouse  where he  informed a second material handler  Employee #2  of the event. Employee #2  radioed to the supervisor  Employee #5  who was working in the main facility.  Employees #5 and Employees #3 and #4 (material handlers) all heard the radio  call and proceeded to the warehouse. Once there  they established the  seriousness of the spill  set a perimeter  and called for an outside emergency  response team. Employees #1  #2  #3  #4  and #5 were taken to a nearby  hospital as a precautionary measure.,hydrofluoric acid  spill  drum  drum hoist,3 124617853   Non Hospitalized injury Burn(Chemical) Supervisors  material moving equipment operators,material handler,,,material handler
200351435,Five Employees Sent To Hospital After Ammonia Leak,At approximately 9:30 p.m. on or about July 31  Employee #1  a maintenance  technician for a can and bottling operation  responded to a possible ammonia  leak during the second shift at the plant. A 2 000 lb outside storage tank  pumped ammonia into the line-filled room to cool the syrups to between 35 and  40 degrees F before the cans and bottles were filled. Apparently  part of the  Hanson valve  which controlled the line flow  broke and ammonia had leaked  into the air. Employee #1 arrived and entered the maintenance room without any  respiratory PPE. Once the supervisor was present  however  all the maintenance  technicians donned respirators and were able to isolate the line where the  leak occurred. The plant was evacuated and the lead maintenance technician and  the second shift supervisor toured the facility with ammonia strips to  determine whether it was safe to re-enter. Ammonia was detected throughout the  plant  so the second shift employees were sent home and all the doors were  opened to allow the buildings to air out. Employee #1 said he felt nauseous  and had a headache  and the supervisor sent him to the Emergency Room. After  determining the plant was safe to enter  the supervisor and maintenance lead  decided to allow the third shift to begin work. Shortly thereafter  several  employees in different parts of the building began to experience burning  sensations on their faces and in their noses and respiratory tract. Even after  stepping outside  these employees did not feel better  so the supervisor sent  them to the hospital as a precaution. The supervisor and maintenance lead then  called the plant manager and requested permission to send the third shift  home. Employee #1 and coworkers were treated and released  although Employee  #1 was instructed by the doctor to take one day off from work. The location of  the ammonia leak was in the compressor room  not the filler room  where there  was a control panel that would shut down the system if a drop in pressure was  detected  as happened in this case. Preventive maintenance was performed on  the regulator valves  but not on the gaskets. In this case  the failure  occurred due to a pinhole in a gasket. According to the lead maintenance  technician  there was no way to prevent the occurrence. Because the  refrigeration system was a closed loop  the tank had never been refilled in  the 3 years the plant has been in operation. It was later determined that  between 50 and 75 lb of hot vapor had been released.,ammonia  leak  air contamination  vapor  accidental discharge  respiratory tract  inhalation  chemical vapor  gasket,,maintenance technician,,,maintenance technician
1005321,Four Employees Exposed To Propylene Oxide After Explosion,Employee #1  a biology professor  removed two 1-quart glass bottles of  propylene oxide from a freezer  and placed them overnight under a laboratory  hood. One of the bottles exploded  exposing Employees #1 through #4 to  chemical vapors  for which they were hospitalized. Employee #1 said that there  was probably a crack in the bottle  resulting in a pressurized explosion.  There is no other apparent explanation because the other bottle did not  explode.,propylene  explosion  inhalation  equipment failure  work rules  toxic fumes  chemical,3 104800107   Hospitalized injury Asphyxia Occupation not reported,biology professor,,,biology professor
170572457,Twelve Employees Affected By Acute Chemical Exposure,At approximately 4:00 p.m. on February 22  1998  Employee #3  a chemical  operator  added the wrong catalyst for a reaction  causing overpressurization  of the vessel. The safety relief valve opened  releasing vapors and liquid  that settled to the ground near a roll-up door. Employees #4 through #12   contractors doing pipe fitting work on an adjacent reactor  were exposed to  the vapors as they left the area. Employee #1 was exposed during clean-up and  Employee #2 was performing housekeeping duties near the roll-up doors.  Employees #1 through #12 were transported to the hospital complaining of  nausea  dizziness  and chest tightness--all symptoms of acute chemical  exposure. They were treated and released. The employer was cited for  violations of T8CCR 1910.119  T8CCR 1910.120  and T8CCR 1910.1200.,chemical  chemical vapor  safety relief valve  inhalation  nausea  dizziness  pressure vessel  chemical reaction  air contamination  overexposure,3 301773347   Non Hospitalized injury Other Miscellaneous plant and system operators,chemical operator,,,chemical operator
200630598,Three Employees Hospitalized After Fire In Dust Collector,Employees #1 through #3 were conducting abrasive blasting operations inside a  railroad car when the dust collector bag housing caught fire. They were  evacuated  along with coworkers  but Employees #1through #3 developed severe  respiratory irritation that required hospitalization.,fire  respiratory  dust collector  inhalation  dust  smoke  lung  respiratory tract  abrasive blasting  smoke inhalation,3 116218728   Hospitalized injury Asphyxia Laborers  except construction,,,,
200376002,Four Employees Receive Chemical Burns From Ruptured Valve,At 8:30 a.m. on May 19  2012  four Employees working for Resolute Forest  Products  were isolating the main isolation valve in the recausticizing area.  All four were standing by the suction valve of a pump (2-10 ft away from the  valve; Pump Number 1) near the white liquor (mixture of sodium hydroxide   sodium sulfide  and water with a pH of 12.5-13.5) when the valve sleeve  failed. The inside of the pinch valve ruptured causing white liquor to spray  out of the valve. The suction valve was approximately 1-3 ft off the ground.  All four Employees were sprayed and covered in white liquor from head to toe.  They suffered 2nd and 3rd degree chemical burns to the body including eyes and  skin. All four Employees were wearing personal protective equipment to  include: a hard hat  safety glasses  uniform  and steel toed boots. All four  Employees were hospitalized.,paper  mill--plant  valve  chemical burn  pump  ppe  eye  skin  sodium hydroxide  accidental discharge,3 316204601   Hospitalized injury Burn(Chemical) Occupation not reported,,,,
200358125,Four Workers Are Burned By Acid When Pipe Fails,On June 26  2009  four employees were cleaning gypsum from a sump pump pit  when a fiberglass reinforced plastic pipe failed  spraying all four employees  with phosphoric acid on the face  neck  back  and arms. They were transported  to local hospitals. Three employees were treated and released; one was  transferred to the Chapel Hill Burn Center for further treatment.,accidental discharge  chemical burn  phosphoric acid  face  neck  back  arm  mech malfunction,3 312874076   Non Hospitalized injury Burn(Chemical) Laborers  except construction,,,,
