id,title,content
201079928, Employee Is Burned By Forklift Radiator Fluid ,"upper legs, groin area"
202561825, Employee Falls From Flatbed Trailer And Later Dies ,
200361855, Two Workers Are Struck By Motor Vehicle And One Is Killed ,
200361863, Employee Is Struck By Bales Of Wire And Killed ,"face, head., upper torso, legs, blood loss"
201079324, Employee Is Splashed With Hot Water And Is Burned ,
202658258, Employee Suffers Burns While Moving Soup ,
202685947, Employee Injures Self With Knife ,
202673471, Foreman Is Fatally Crushed When Forklift Tips Over ,
202369575, Employee Fractures Abdomen When Run Over By Tug Cart ,
202509832, Employee Suffers Abdominal Fracture In Fall From Ladder ,
201129681, Carpenter Injured In Abdomen When Saw Kicks Back ,
202081899, Employee Abdomen And Head Injury In Slip And Fall On Tarp ,"head, back"
202082020, Employee Sustains Ruptured Spleen After Board Kicks Back ,spleen
201562840, Employee'S Body Is Caught In Asphalt Machine  Dies ,body
202674610, Logger Is Injured When Butt Of Tree Kicks Out  Strikes Him ,"chest abdomen, back cut, pelvis area"
201703584, Worker Is Injured When Struck By Board And Thrown Onto Steps ,
202457990, Employee Suffers Burns When He Came In Contact With Live Wir ,legs groin
201510823, Bulldozer Operator Is Crushed While Working On Engine ,
202478632, Employee Is Punctured In Abdomen With Nail ,"nail gun, nail"
200361178, Employee'S Abdomen Is Penetrated By A Wood Pallet ,
202692364, Carpenter Is Injured In Fall From Ceiling Joist ,feet
202615324, Employee Fractures Ankle Unclogging Beet Harvester ,"leg, hand, foot, knee"
201510989, Pipeline Worker Is Struck And Injured By Falling Cement ,feet
202510004, Employee Crushes Leg  Suffers Possible Fracture ,leg
201187002, Employee Is Struck By Cable  Sustains Facial Abrasion ,"temple, right temple/forehead"
202654620, Worker Falls From Roof And Breaks Arm ,"left arm, face"
200361772, Driver Hurt When Truck Unloading Sand Overturns ,
202675229, Employee Sprains Knee When Struck By Forklift ,right knee
202657722, Employee Falls Through Greenhouse Roof  Fractures Ribs ,feet
201562907, Employee Is Killed In Avalance ,
202523676, Worker Smashes Finger While Moving A Pallet Of Cans ,finger injury
202657474, Tile Setter Sustains Injuries In Fall From Ladder ,feet
201129731, Worker Injured In Fall Between Two Barges ,"body, left leg, right shoulder, right foot"
200376341, Employee Caught In Floors Suffers Lung Collapse ,"leg, collapsed lung potential internal bleeding right knee injury, right leg, hip area"
202614863, Employee Falls Through Ceiling  Suffers Contusions/Abrasions ,
202082087, Worker Thrown From Forklift Sustains Abrasions ,
202685921, Fall From Elevated Platform Injures Worker ,feet
201623592, Two Employees Are Struck By Log  One Sustains Fractures ,
201186616, Employee Suffers Lacerations When Struck By Tree Branch ,right ear laceration right arm abrasion
202651907, Crane Operator Incurs Knee Injury When Crane Tips Over ,"knee injury, knee bruise/abrasion"
202521746, Employee Lacerates Finger On Belt Sander ,index finger
201503042, Employee Injures Hand When Caught In Rough,"hand, left hand"
201620887, Employee Injured When Hand Caught By Plywood Sander Roller ,"hand, fingers"
14458525, Finger Cut By Abrasive Grinding Belt ,EMPLOYEE SUSTAINED A DEEP CUT ON RIGHT INDEX FINGER FROM EDGE OF GRINDING BELT WHEN BELT SLIPPED
202656997, Sandblasting Worker Sprays Leg With Abrasive Slag ,"left leg, tissue burn"
200203834, Employee Struck By High Pressure Water Is Killed ,
200541936, Employee Is Killed In Fall From Suspension Scaffold ,feet
201800323, Employee Amputated Finger In Adbrasive Blast Machine ,"finger, third right fingers, extensor tendon, right index finger, bone loss, right hand, right little finger"
200631141, Employee Is Killed From Asphyxiation While Abrasive Blasting ,
201035995, Employee Dies From Heart Disease ,hypertrophic heart disease
201174380, Employee Injures Finger When Manhole Cover Falls ,finger
14509269, Employee Dies When Crushed By Steel Structure ,
200621423, Employee Killed In Fall From Man Lift ,
200630598, Three Employees Hospitalized After Fire In Dust Collector ,
300058807, Employee Killed In Fall From Roof ,
201761053, Two Employees Were Asphyxiated And Died ,
201951696, Employee Injured When Struck By Falling Core ,
171057631, Two Employees Injured In Propane Explosion ,
200521441, Employee'S Hand Severed While Cleaning Sabar System ,right hand
603282, Employee Killed When Sandblasting Pot Explodes ,"neck, face"
795021, Employee'S Thigh Lacerated With Abrasive From Machine ,right thigh
14493290, Employee Asphyxiated By Nitrogen In Sandblasting Hood ,
14521470, Electric Shock ,
14332423, Asphyxiated In Rail Car; Air Compressor Failed ,DAYS LATER DUE TO CEREBRAL ANOXIA WITH BRAIN DEATH SECONDARY TO ASPHYXIATION.
201186939, Employee'S Foot Is Run Over By Automobile And Is Fractured ,"distal fibula, right ankle"
202477444, Employee'S Thumb Is Injured By Grinder ,left thumb
201179462, Employee'S Wrist Pressure Burned When Caught In Rollers ,
201096104, Employee Iburns Hand While Using Acid To Clean Shuttle Van ,left hand
201056629, Employee Injures Legs When Caught Under Sweeper ,upper legs
201114022, Employee Suffers Hand Injury In Rollers ,"gloved left hand, thumb"
200810828, Employee Killed In Fall From Telecommunications Tower ,"hands, jaw"
200820934, Employee'S Hand Injured In Contact With Abrasive Wheel ,tendon damage
200962850, Employee'S Arm Injured In Roller Of Fiber Spooler ,"hand, arm"
200962249, Employee Injured When Caught By Backhoe Tire ,"fractured right ankle, ligaments, multiple muscle strains, skin, pelvis bone, back, left leg, leg, left shoulder, pelvis"
170562227, Employees Suffer Burns From Caustic Material ,
170089510, Employee Suffers Cuts And Rope Burns As Manlift Cable Breaks ,hands
886085, Fall ,"right palm, feet, right thigh, right hand, right hand employee"
170697197, Employee Injured When Caught In Conveyor Hold,"left leg, right arm 2nd-degree burns, metatarsal 2nd-, back"
170196976, Employee'S Arm And Hand Injured By Conveyor Belt/Roller Drum ,"left palm, arm, left hand"
170200513, Employee Injured When Arm Caught In Oven Conveyor ,"arm, left hand"
170196331, Employee Suffers Multiple Fractures Due To Rotating Shaft ,arm third-degree friction burns
14541577, Window Washer Fell 25 Floors ,HE RECEIVED ABRASIVE BURNS TO HIS HANDS AND ARMS
202656856, Worker Is Struck By Abrasive Disk From Concrete Machine ,left leg
202471264, Worker Lacerates Hand On Angle Grinder Used On Concrete ,
201185766, Employee'S Arm Is Injured When Abrasive Wheel Fractures ,hand
202543005, Employee Amputates Hand In Polishing Machine ,"head light ring, reason right hand"
201639994, Abrasive Wheel Cut Off Saw Breaks And Cuts Employee'S Face ,face
201509692, Machine Operature Fractures Arm When Struck By Grinder Wheel ,right arm
170363899, Employee Cuts His Thumb With A Grinding Wheel ,"finger, left thumb."
202089009, Worker Is Killed While Operating Roll Grinding Machine ,
201507597, Employee Injures Eye While Using Wheel Grinding Tool ,"right eye, serious eye injury, right eyelid"
202472957, Employee Amputates Finger On Grinding Wheel ,left index finger
201147584, Employee Injures Finger While Repairing Grinder ,left index finger
201182656, Employee'S Face Is Injured By Flying Object ,"face, broken nose"
202087102, Employee Is Injured By Abrasive Wheel Fragment ,
201145810, Employee Is Injured While Cutting Railing With Angle Grinder ,right hand
202352159, Grinding Wheel Strikes Employee Who Is Hospitalized ,"right calf, injured calf muscles"
201056595, Employee'S Fingers Partially Amputated In Saw ,"left index finger, left hand"
201620762, Employee Struck And Injured By Exploding Abrasive Wheel ,stomach
201122769, Employee'S Hand Lacerated By Abrasive Wheel ,"hand, hand., back"
