id,title,content
201562907,Employee Is Killed In Avalance,
14509269,Employee Dies When Crushed By Steel Structure,
202089009,Worker Is Killed While Operating Roll Grinding Machine,
170627087,Employee Is Killed When Struck By Vehicle,feet
201067444,Employee Dies When Pinned By Golf Cart,"tibia, right leg, fibula"
201344959,Employee Dies After Exposure And Allergic Reaction,
200555605,One Employee Is Killed And Injured In Explosion,"hand, face, back"
200713980,Employer Is Killed While Erecting Billboard,
200023273,Employee Is Killed In Fall From Billboard Ladder,face
200626950,Supervisor Is Ejected From Aerial Lift And Killed In Fall,
200677805,Employee Dies When Crushed By Aerial Lift,
200516003,Racehorse Kicks Horse Groomer  Who Later Dies From Injuries,chest
202615043,Tractor Operator Is Crushed And Killed In Tractor Roll,
202458279,Employee Is Found Dead In Truck From Drug Overdose,
201923976,Employee Dies After Exposure To Chlorine,
201561792,Employee Dies From Exhaust Flowing Into Breathing Apparatus,
200620524,Employee Dies Of Carbon Monoxide Exposure,
201925211,Employee Is Exposed To H2s  Dies From Possible Heart Attack,
200651529,Employee Is Killed When Struck In The Head By Tire Rim,"serious head injury, head"
200851509,Employee Killed In Fall Down Hvac Duct,
14397657,Employee Dies In Fall Through Air Duct,
200922649,Baggage Cart Driver Is Struck By Motor Lounge  Later Dies,
201408697,Worker Is Killed When Run Over By Backing Skid Steer,
200542199,Employee Is Struck And Killed By Motor Vehicle,
201562683,Employee Is Struck And Killed By Truck,
202368890,Employee Dies From Bee Stings,"hand, arm"
200212017,Employee Dies From Allergic Reaction To Bee Stings,
202600730,Employee Dies After Fall Through Floor Opening,head injuries
14447056,One Employee Killed And One Employee Injured In Explosion,
202528451,Employee Is Struck By Amusement Ride Cart And Dies,
202483921,Employee Is Killed In Monorail Collision,
202488391,Employee Is Killed While Storing Ferris Wheel,"head, back"
201078680,Employee Falls From Decking And Is Killed,
202005427,Roofer Is Killed In Fall From House,
201773348,Roofer Falls 40 Feet And Dies While Wearing Ppe,
202554713,Employee Dies From Aneurism,
202568770,Employee Dies Of Brain Aneurysm,brain aneurism
201022738,Employee Dies Of An Apparent Brain Aneurysm,
202615191,Employee Is Killed In Cougar Attack,
201354297,One Employee Is Killed  One Is Injured In Explosion,hind leg
202723722,Employee Is Killed In Fall From Tower,
202358974,Employee Is Killed In Fall From Metal Deck,"feet, head"
202341749,Employee Is Killed In Fall From Ladder,foot
200602456,Employee Electrocuted While Arc Welding,
14220974,Welder Found Dead With Hot Welding Tip On Cheek,
202570305,Worker Incurs Arterial Tear From Scaffold Fall And Dies,left thigh
202126611,Employee Dies From Asphyxia When Lagging Section Collapses,
201942547,Employee Dies From Burns By Conditioned Mix Ash,"body, feet, head, arms"
202720694,Employee Is Killed When Caught Between Vehicle And House,
202716692,Carpenter Is Killed In Excavation Collapse,
200627024,Employee Is Found Dead From Asphyxiation,
201682291,Employee Killed When Head Is Caught In Machine,head
201392859,Employee Dies From Smoke Inhalation,
200623569,Employee Is Killed From Fire On A Bulldozer,
200997286,Worker Is Killed While Installing Helical Piles At Jobsite,feet
202126702,Employee Is Electrocuted By Un,
200626521,Employee Dies In Auger Accident,
202087631,Employee Is Caught In Automated Drill And Killed,
200627008,Employee Is Killed When Struck By Vehicle,shoulder
202334595,Employee Pinned Between Garbage Truck And Car Dies,
