id,title,content
202543005,Employee Amputates Hand In Polishing Machine,"head light ring, reason right hand"
201056595,Employee'S Fingers Partially Amputated In Saw,"left index finger, left hand"
201112612,Employee Hospitalized When Burned By Ignited Acetone,"face, upper body"
202457644,Hvac Mechanic Is Severely Injured By Rotating Shaft,"head face, ear lobe, back part, shoulders"
202550471,Employee Amputates Finger On Moving Valve,"finger, right middle finger tip"
202488003,Employee Amputates Fingertip In Pneumatic Pruner,"left right finger, head, finger tip"
126090455,Employee'S Fingers Are Amputated In Machinery,"finger, back facing space rag, back pocket, fingers, right hand"
202654174,Employee Amputates Fingers And Fractures Forearm In Rotor,amputated fingers
170068274,Employee Fingers Broken And Amputated By Propeller,"small finger, fingers"
201174646,Employee Falls And Has An Allergic Reaction During Surgery,"plant bone yard, collar bone injury, right shoulder"
201486495,Employee'S Finger Tip Amputated By Waxer Machine,
201130085,Foreman'S Finger Is Amputated When Unguarded Saw Kicks Back,"fingers, hand movement, left hand, back side"
202510194,Employee Amputates Finger While Cleaning Pump,"gloved hand tip, right hand fingers, middle finger"
202458741,Employee Amputates Thumb And Finger On Cutting Machine,"left index finger, thumb, fingers"
201694924,Employee Amputates Fingers Between Pot And Furnace Frame,"fifth fingers, fingers"
202555462,Worker Amputates Tip Of Finger While Fixing Vehicle,
202448486,Employee'S Finger Is Amputated After Being Crushed,finger
200053916,Zookeeper'S Fingers Are Amputated By Chimpanzee,
202531257,Employee Amputates Arm Caught In Screw Conveyor System,"left arm, arm"
312669575,Worker Loses Fingers While Cleaning Machinery,"right hand, fingers"
201493251,Chicken Processing Worker'S Hand Is Amputated By Machine,"fifth fingers, right-hand-multiple finger injury, gloved hand"
201066594,Employee Amputates Finger On Beverage Machine,finger
201103504,Employee Amputates Left Hand When Caught In Mixer,"gloved hand, left hand, wrist"
200536019,Employee Amputates Left Middle Finger While Ram Cycling,"finger, middle finger"
200535904,Employee Amputates Fingers In Paper Slicer,
202545372,Employee Amputates Fingers When Caught By Printer,"finger, right index finger, middle finger, right hand, right pinky finger"
