id,title,content
200630598,Three Employees Hospitalized After Fire In Dust Collector,
200360915,Six Employees Hospitalized Following Ammonia Release,
14386031,Thirteen Employees Inhale Creosote Vapors; Two Hospitalized,
839696,Six Employees Hospitalized After Exposure To Cyanide,
200994184,Three Employees Are Hospitalized Due To Dust Inhalation,
200840270,Seven Employees Hospitalized For Excessive Lead Exposure,
14387518,Ten Employees Exposed To Chlorine Gas  Four Hospitalized,
200358240,Three Employees Are Hospitalized Due To Smoke Inhalation,
202149282,Four Employees Are Hospitalized After Motor Vehicle Accident,
200750347,Three Employees Hospitalized After Exposure To Coolant,
200925766,Four Employees Suffer Hot Grease Burns  Two Hospitalized,
201270964,Five Employees Hospitalized After Chemical Exposure,
978593,Five Employees Hospitalized After Exposure To Toxic Fumes,
201282852,Six Employees Are Hospitalized Due To Chemical Spill,
609230,Seven Employees Hospitalized After Exposed To Oxides,
783720,Five Employees Hospitalized Due To Styrene Exposure,
202478483,Employee Is Burned When Sprayed By Injection Molding Machine,"arms, barrel feed throat, face shoulder hands"
202692380,Trailer Fire Causes Burns To Upper Body Of Worker,upper body
202658209,Steel Bean Rolls On Employee'S Foot  Amputates Toe,large toe
200376366,Two Workers Are Injured When Truck Falls Off Bridge,"face, feet high, feet long, feet, chest, shoulder, back shoulder, leg, chipped bone"
202446563,Employee Amputated Thumb In Spiral Machine,"right hand, right thumb, thumb"
202614616,Worker Is Hospitalized For Carbon Monoxide Poisoning,
202588513,Employee Suffers Fractures When Tractor Strikes Bomb Cart,"leg, fractured right tibia, fibula, shin"
202657250,Worker Sustains Multiple Injuries When Trench Collapses,
202475000,Employee Fractures Leg When Struck By Metal Pipes,"leg, left leg, back"
201075199,Employee Fractures Leg When Struck By Concrete,"leg fracture, left leg"
170562383,Five Employees Suffer Minor Exposure To Strong Acid Vapors,
202673182,Employee Amputates Toes While Operating Fork Lift,right foot
202509493,Employee Sustained Finger Amputation With A Meat Cutting Ban,"hand, bone, thumb, left thumb tip"
201494903,Employee Sustains Multiple Fractures When Runover By Trailer,
170150957,Employee Burned In Natural Gas Fire,"face, wrist neck, lips"
201694171,Employee Is Injured While Using Lighting Stick,"right hand, foot"
201059268,Employee Is Burned By Hot Oil,"neck, body, leg, left arm, face forehead/scalp"
201119534,Employee'S Hand Caught Between Steel Rollers,"little finger, right hand, fourth finger, left hand"
1005321,Four Employees Exposed To Propylene Oxide After Explosion,
202454781,Employee Amputates Finger Using A Heat Sealing Machine,finger
200420180,Employees Are Pinned Between Crane Load And Wall,
201024692,Employee Is Bruised After Being Overtaken By A Sudden Pour O,"feet, body parts"
170562227,Employees Suffer Burns From Caustic Material,
201351244,Three Employees Burned When Acetone Vapors Ignite,
201111648,Three Employees Injured When Acetone Vapors Ignited,hand
200515914,Three Workers Are Injured When Struck By Collapsing Trusses,"fractured chest, face, leg fractures"
201508561,Worker Amputates Thumb In Air,"left thumb, bone loss"
201792710,Three Employees Fall Unconcious,"face, forehead, nose, respirator face piece"
200359032,No Injuries Are Reported  Anhydrous Ammonia Release/Fire,
200514610,Three Employees Are Exposed To Ammonia Release,
201690070,Six Employees Injured When Exposed To Anhydrous Ammonia,
202532305,Two Employees Are Injured In Chemical Fire,"face, right arm third-degree burns, right ear right side, fingers, back, right shoulder arm, head"
202064325,Three Employees Are Burned In Confined Space Incident,
202479317,Employee Crushes Finger When Forklift Clamp Slips,"finger, index finger"
200881811,Fall From Communication Antennae Tower Hospitalizes Three,
202081543,Worker Is Injured When Struck By Powered Industrial Truck,
170379663,Employee'S Leg Injured When Pinned By Baggage Tractor,leg injuries
170896633,Employee'S Fingertip Amputated In Pan Stacker,right index finger
202422218,Employee Is Struck In The Head By A Crane Ball,"broken wrist, right arm, face bruised left, neck injury, sprained cervical spine, head, wrist"
201185444,Employee Fractures Elbow When She Trips On Barrier,"right elbow, left foot, right foot"
200631612,Three Employees Burned In Flash Fire Removing Bearing,
202637112,Three Employees Are Burned Due To Arc Flash/Heat,
170365803,Employees Injured In Blast Furnace Explosion,"head, eye injuries"
170391627,Three Employees Injured In Release From Blast Furnace,
170386601,Seven Employees Injured In Blast Furnace Explosion,
315952622,Employee Is Injured During Hydroblasting Operation,foot
202649448,Six Employees Suffer Chemical Exposure In Spill,
202089108,Employee Is Struck And Seriously Injured By Ejected Tire,"eyes, face, head, multiple facial fractures subdural hematoma subarachnoid hemorrhage fractured arm"
