id,title,content
200535078,Three Employees Were Burned In Flash Arc Fire,"face, neck, hands, body, body b, head"
202082145,Six Employees Suffers From Chlorine Gas Poisoning,
317229540,Three Workers Fall From Collapsing Patio And Sustain Burns,
170562383,Five Employees Suffer Minor Exposure To Strong Acid Vapors,
200351435,Five Employees Sent To Hospital After Ammonia Leak,noses
1005321,Four Employees Exposed To Propylene Oxide After Explosion,
170572457,Twelve Employees Affected By Acute Chemical Exposure,
200630598,Three Employees Hospitalized After Fire In Dust Collector,
200376002,Four Employees Receive Chemical Burns From Ruptured Valve,"body, eyes, skin"
200358125,Four Workers Are Burned By Acid When Pipe Fails,
202079570,Eight Employees Are Exposed To Chemical Vapor Release,
201351244,Three Employees Burned When Acetone Vapors Ignite,
201111648,Three Employees Injured When Acetone Vapors Ignited,hand
200515914,Three Workers Are Injured When Struck By Collapsing Trusses,"fractured chest, face, leg fractures"
200998474,Five Employees Are Over Exposed To Carbon Monoxide,
200533438,Sixteen Employees Are Exposed To Ammonia Release,eye washing
201792710,Three Employees Fall Unconcious,"face, forehead, nose, respirator face piece"
202614525,Three Empoyees Exposed To Ammonia Leak Are Not Injured,
200360915,Six Employees Hospitalized Following Ammonia Release,
200514610,Three Employees Are Exposed To Ammonia Release,
201690070,Six Employees Injured When Exposed To Anhydrous Ammonia,
202079026,Four Employees Are Intoxicated By Leaking Argon,
200120640,Ten Employees Injured By Carbon Monoxide Exposure,
170151468,Ten Employees Overexposed To Asbestos During Removal,
202064325,Three Employees Are Burned In Confined Space Incident,
202654976,Three Employees Sustain Burns Opening Pressurized Chamber,
200631612,Three Employees Burned In Flash Fire Removing Bearing,
201030673,Nine Employees Exposed To Benzene,
202637112,Three Employees Are Burned Due To Arc Flash/Heat,
170391627,Three Employees Injured In Release From Blast Furnace,
170386601,Seven Employees Injured In Blast Furnace Explosion,
699686,Fourteen Employees Injured In Blast Furnace Area Explosion,
202649448,Six Employees Suffer Chemical Exposure In Spill,
200771590,Four Employees Suffer From Asphyxia,
200372118,Three Employees Exposed To Chemical Vapors,
200710499,Five Employees Burned In Oil Well Explosion And Fire,extension arm
200981348,Three Oil Field Workers Are Burned In Flash Fire,
200533545,Three Carpenters Are Hurt When Trusses Fail,"hand, foot fracture nerve damage, arm motor function"
200624682,Three Employees Are Injured When Bar Joist Collapses,fractured legs
201510955,Three Bridge Workers Are Sickened By Carbon Monoxide,
200981207,Four Employees Are Burned During Chemical Flash Fire,
201146222,Three Employees Are Burned In A Propane Tank Explosion,"face, arm, right forearm hand, back, body, head"
201572203,Three Employees Are Burned In Butane Explosion,"backs arms legs, hands"
202082392,Three Employees Suffer Inhalation Symptoms,
200074813,Four Employees Are Exposed To Carbon Dioxide,
14252514,Seven Employees Injured In Chemical Fire,
14521454,Six Employees Injured In Fire And Explosion,"eyes, hands, arms, back"
201702651,Five Employees Are Poisoned By Propane,
200354850,Three Employees Are Exposed To Carbon Monoxide,
201560927,Three Employees Were Overexposed To Carbon Monoxide,
202560538,Three Employees Are Injured When Concrete Pipe Erupts,
202483822,Three Employees Are Injured When Diversion Plate Falls,feet
201922721,Four Employees Injured In Release Of Sodium Sulfide,"left ear, head, skull fracture"
202492252,Forty Seven Employees Are Exposure To Chlorine Dioxide,
201494275,Six Employees Are Exposed When Sanitizing Tanks Overflow,
201493673,Five Employees Exposed To Chlorine,
202599528,Seventeen Employees Are Exposed To Chlorine Dioxide,
202486031,Thirty Nine Employees Are Exposed To Chlorine Dioxide Gas,
170006415,Eleven Employees Exposed To Chlorine Gas,
202080669,Three Employees Are Injured From Electric Arc,"abdomen, face, head contusions, neck"
202586186,Five Employees Are Observed After Exposure To Vapors,
200032787,Three Employees Are Injured In Coal Dust Explosion,"broken toe, left leg, numerous skin graft surgeries"
170080865,Three Employees Burned To Death In Hydrocarbon Fire,
202546040,Four Hvac Workers Are Injured When Floor Collapses,
202076089,Three Employees Injured In Dust Explosion,sprained ankle
201320868,Three Employees Are Burned By Propane Ignition,
200075414,Eight Employees Are Injured In Fall Off Scaffold,
14224430,Four Employees Injured By Collapsed Deck,"leg, leg injuries"
202076022,Three Employees Are Exposed To Carbon Monoxide,
201523966,Four Employees Are Injured When Concrete Form Falls Over,"head neck shoulder, ankle injuries"
201185964,Four Employees Are Injured When Roof Deck Collapses,feet
200232239,Three Employees Injured In Collapse Of Bridge Being Built,
201103223,Three Employees Are Burned By Hot Cooking Oil,
201984788,Five Employees Injured Falling From Cooling Tower,
200781219,Three Employees Injured When Cooling Tower Bentlines Fail,
723809,Six Employees Injured By Hexane Inhalation,
170241152,Three Employees Ill After Being Exposed To Chlorine,
14198600,Five Employees Injured In Fall From Scaffold Platform,
201632882,Eleven Employees Injured By Respiratory System Irritation,
200371888,Four Employees Are Exposed To Formaldehyde,
201632049,Seven Employees Exposed To Leaking Freon Gas,
200625861,Four Employees Are Injured By Falling Crane Boom,leg
170361372,Three Employees Burned While Pumping Waste Creosote,"arms necks, arms"
14386031,Thirteen Employees Inhale Creosote Vapors; Two Hospitalized,
200840718,Five Employees Injured In Crude Oil Pipeline Flash Fire,
200460640,Three Employees Injured By Exposure To Cyanide,
839696,Six Employees Hospitalized After Exposure To Cyanide,
202353025,Four Employees Injured When Deck Collapsed,"ankle, arm Employee, foot"
200962231,Four Employees Injured By Inhaling Trichlorethylene,
170401459,Four Employees Injured By Chemicals Splashed From Pipe,"hand, arms, neck face"
774166,Six Employees Develop Dermatitis,
14232243,Six Employees Hopsitalized From Chemical Burn,
201408408,Three Employees Sustain Burns From Energized Line,
201430329,Three Employees Are Injured When Detonators Explode,
200350429,Three Employees Sustain Burns On Movie Set,
170006779,Three Employees Burned In Chemical Reaction And Explosion,"body, face"
202126439,Four Employees Are Burned In Flash Fire On Oil Rig,
202354338,Six Employees Injured When Exposed To Perchloroethylene,
200270510,Five Employees Burned When Pellet Dryer Explodes,
200123008,Four Employees Are Burned By Coal Dust Flash Fire,
200994184,Three Employees Are Hospitalized Due To Dust Inhalation,
200010312,Three Employees Suffer From Smoke Inhalation In Store Fire,
200840270,Seven Employees Hospitalized For Excessive Lead Exposure,
200376507,Four Workers Sustain Cuts When Glass Meter Shatters,"face, left wrist"
200784999,Three Employees Get Burns And Injured Due To Arc Flash,
200571404,Three Employees Receive Injuries In Electrical Fire,"body, back"
201493574,Three Employees Are Exposed To Carbon Monoxide,
202467460,Four Employees Are Injured When Scaffold Collapses,
202367397,Three Employees Are Injured When Scaffold Collapses,
14471031,Three Employees Injured By Chlorine Gas And Explosion,
14387518,Ten Employees Exposed To Chlorine Gas  Four Hospitalized,
201146065,Four Employees Are Injured In Ethylene Oxide Explosion,
200850857,Three Employees Injured By Ethylene Oxide Release,
201064136,Eight Employees Are Ill After Carbon Monoxide Exposure,
202421061,Eight Employees Suffer Smoke Inhalation From Fire Fighting,
200776342,Four Employees Injured In Explosion,"neck, shoulder, back"
200041044,Three Employees Burned In Propane Explosion,
200611374,Five Employees Injured By Inadvertent Chemical Reaction,filling operation
14318786,Six Employees Injured In Explosion Of Plastic Fines,
171057508,Four Employees Injured By Flying Parts In Chemical Explosion,
200355196,Three Employees Are Injured When Explosive Charge Detonates,"jaw, right ankle, chest, right hand, arms, eyes, left shoulder, eye injuries"
201615200,Ten Woodland Firefighters Are Injured In Traffic Accident,
200514016,Three Employees Are Among Those Burned In Grain Explosion,
200922466,Four Employees Receive Injuries While Fighting House Fire,
201000056,Seventeen Employees Receives Injuries While Fighting A Fire,
201793957,Five Employees Suffer Smoke Inhalation Fighting A Fire,
170744650,Thirteen Employees Injured Fighting Apartment Building Fire,back
200358240,Three Employees Are Hospitalized Due To Smoke Inhalation,
202149282,Four Employees Are Hospitalized After Motor Vehicle Accident,
202271938,Four Employees Are Injured When Two Fire Trucks Collide,
200361764,Four Employees Suffer Heat Exhaustion,
884817,Four Employees Exposed To Formaldehyde,
14387492,Ten Employees Exposed To Toxic Vapors From Burning Plastic,
200451946,Three Employees Receives Injuries From Toxic Gas Exposure,
202079471,Three Employees Are Burned In Foundry Explosion,"left ankle, feet, hands, back, palms"
200750347,Three Employees Hospitalized After Exposure To Coolant,
201921301,Three Employees Burned,
170034086,Twenty,"eyes, runny noses"
200360899,Four Employees Are Burned In Propane Gas Explosion,
200925766,Four Employees Suffer Hot Grease Burns  Two Hospitalized,
200630929,Four Employees Are Poisoned When Exposed To Chemicals,
202086575,Three Employees Suffer Carbon Monoxide Poisoning,
202005633,Three Employees Burned In Refining Furnance Accident,
14256317,Four Employees Injured In Grain Mill Explosion,
14532923,Six Employees Injured In Fall With Manlift On Crane,
202089546,Nine Employees Are Injured When Grease System Explodes,"face, closed head injury"
200380715,Three Employees Injured When Battery Explodes,"eye, legs"
